DetectionID,Timestamp,Zone,DwellTime_s,EngagementScore,AI_Confidence
ANON-f06973,2026-02-24 17:30:25,Checkout,92.42,56.69,0.98
ANON-42eaf0,2026-02-24 17:33:48,Checkout,117.76,75.27,0.98
ANON-0e3207,2026-02-24 17:35:21,High-Conv,291.64,83.16,0.88
ANON-d6c3ef,2026-02-24 17:36:17,High-Conv,209.16,73.37,0.92
ANON-02f1c2,2026-02-24 17:36:52,Entrance,36.89,50.23,0.69
ANON-e5b671,2026-02-24 17:37:53,High-Conv,377.61,87.82,0.93
ANON-567893,2026-02-24 17:42:59,Entrance,33.75,40.29,0.74
ANON-020a6a,2026-02-24 17:47:20,High-Conv,542.57,99.32,0.88
ANON-9e8542,2026-02-24 17:51:57,Checkout,131.98,63.45,0.97
ANON-5f6285,2026-02-24 17:53:09,High-Conv,407.77,80.58,0.91
ANON-c884cb,2026-02-24 17:56:37,Checkout,104.79,64.8,0.93
ANON-5d4742,2026-02-24 17:58:03,Checkout,87.62,54.67,0.96
ANON-764597,2026-02-24 18:03:26,Checkout,195.5,76.92,0.93
ANON-dbe231,2026-02-24 18:04:14,Entrance,32.85,45.89,0.67
ANON-cabc70,2026-02-24 18:04:30,Entrance,34.55,39.36,0.67
ANON-0ac1ae,2026-02-24 18:05:45,Checkout,128.84,59.85,0.95
ANON-c31c6c,2026-02-24 18:06:08,High-Conv,381.03,84.35,0.9
ANON-0cd71f,2026-02-24 18:07:10,Entrance,6.78,40.61,0.84
ANON-bf585b,2026-02-24 18:09:23,High-Conv,475.02,88.93,0.97
ANON-a0babf,2026-02-24 18:09:33,Entrance,19.48,43.4,0.86
ANON-54c527,2026-02-24 18:12:08,High-Conv,298.74,78.51,0.93
ANON-fd9fe9,2026-02-24 18:12:22,High-Conv,257.8,76.82,0.87
ANON-908684,2026-02-24 18:14:02,High-Conv,370.89,84.61,0.89
ANON-a8e90a,2026-02-24 18:16:02,High-Conv,424.7,86.91,0.97
ANON-ece3af,2026-02-24 18:20:16,Checkout,77.11,54.26,0.91
ANON-1463a6,2026-02-24 18:20:18,Checkout,27.55,37.06,0.85
ANON-b181a5,2026-02-24 18:22:42,Entrance,18.43,42.32,0.82
ANON-d96f7b,2026-02-24 18:25:07,Checkout,128.25,65.34,0.94
ANON-77e8bf,2026-02-24 18:26:11,High-Conv,141.8,70.67,0.99
ANON-e95644,2026-02-24 18:26:16,Entrance,28.4,37.45,0.79
ANON-0d4bb2,2026-02-24 18:26:17,High-Conv,368.31,88.02,0.85
ANON-38ef53,2026-02-24 18:27:37,Entrance,5492.96,26.941517440944978,0.75
ANON-780aae,2026-02-24 18:28:23,Checkout,118.02,67.5,0.88
ANON-e1aee9,2026-02-24 18:36:13,Entrance,30.25,35.36,0.72
ANON-4cc81d,2026-02-24 18:37:11,High-Conv,201.39,66.9,0.88
ANON-5af39a,2026-02-24 18:39:37,High-Conv,76.52,64.8,0.88
ANON-0a3db2,2026-02-24 18:44:08,Checkout,127.65,62.2,0.97
ANON-8f891f,2026-02-24 18:49:26,High-Conv,337.13,93.87,0.86
ANON-7949a8,2026-02-24 18:49:30,High-Conv,186.31,72.39,0.92
ANON-af6ba4,2026-02-24 18:49:48,Entrance,24.41,37.95,0.66
ANON-dc508a,2026-02-24 18:52:53,High-Conv,293.2,93.9,0.86
ANON-5b83fc,2026-02-24 18:53:27,High-Conv,315.49,76.79,0.85
ANON-40124a,2026-02-24 18:54:37,Entrance,34.09,41.23,0.85
ANON-269ea8,2026-02-24 18:55:47,Checkout,104.84,57.74,0.9
ANON-012692,2026-02-24 18:57:41,Checkout,123.94,60.11,0.92
ANON-3a4550,2026-02-24 18:57:49,Checkout,113.62,62.32,0.91
ANON-042000,2026-02-24 18:58:49,High-Conv,546.71,96.09,0.97
ANON-bc5507,2026-02-24 18:59:47,Entrance,25.05,30.04,0.72
ANON-3e191c,2026-02-24 19:03:08,Entrance,40.85,43.66,0.77
ANON-ed7346,2026-02-24 19:04:45,Checkout,149.31,69.09,0.97
ANON-de5e19,2026-02-24 19:10:58,Checkout,92.41,59.25,0.91
ANON-508470,2026-02-24 19:17:49,High-Conv,57.15,51.35,0.87
ANON-1687f3,2026-02-24 19:19:56,Checkout,99.95,58.58,0.99
ANON-3eeb95,2026-02-24 19:22:50,Checkout,55.01,52.83,0.95
ANON-84d7ae,2026-02-24 19:24:04,Checkout,141.37,62.08,0.99
ANON-8ac5ae,2026-02-24 19:24:32,Entrance,32.44,36.75,0.82
ANON-54c18f,2026-02-24 19:25:26,Entrance,38.22,48.23,0.74
ANON-64e16f,2026-02-24 19:26:05,High-Conv,323.02,87.36,0.89
ANON-d45894,2026-02-24 19:27:52,Checkout,12849.11,38.62990210690528,0.92
ANON-20c7d8,2026-02-24 19:30:05,Checkout,125.8,70.4,0.86
ANON-3301d6,2026-02-24 19:31:27,High-Conv,405.22,86.74,0.89
ANON-25a05c,2026-02-24 19:32:28,Entrance,11906.6,29.279158743754873,0.78
ANON-2fd4a8,2026-02-24 19:33:46,High-Conv,268.2,77.96,0.93
ANON-4cd863,2026-02-24 19:34:55,Entrance,33.43,41.23,0.66
ANON-958fe6,2026-02-24 19:36:11,Entrance,42.5,43.16,0.69
ANON-694f60,2026-02-24 19:41:10,Checkout,125.65,56.24,0.96
ANON-349990,2026-02-24 19:43:11,High-Conv,56.66,43.11,0.86
ANON-6234b7,2026-02-24 19:45:28,High-Conv,243.15,74.64,0.94
ANON-1f23a4,2026-02-24 19:46:08,High-Conv,378.17,87.01,0.96
ANON-ebb235,2026-02-24 19:46:18,Checkout,120.92,57.53,0.89
ANON-aef400,2026-02-24 19:53:09,High-Conv,340.47,85.02,0.96
ANON-77fb2c,2026-02-24 19:53:54,Checkout,93.99,65.33,0.98
ANON-2ee070,2026-02-24 19:56:08,Entrance,32.83,50.76,0.67
ANON-fb9c2a,2026-02-24 19:59:43,High-Conv,310.35,81.64,0.94
ANON-b97017,2026-02-24 20:04:31,Checkout,87.6,54.57,0.86
ANON-085f05,2026-02-24 20:09:11,High-Conv,258.41,69.55,0.91
ANON-69f854,2026-02-24 20:09:42,Checkout,97.06,53.43,0.95
ANON-68b1d3,2026-02-24 20:11:55,High-Conv,359.77,93.55,0.91
ANON-98672e,2026-02-24 20:12:32,Checkout,128.74,75.79,0.9
ANON-05406f,2026-02-24 20:14:24,Entrance,34.64,41.44,0.86
ANON-f60046,2026-02-24 20:20:55,High-Conv,286.41,80.03,0.88
ANON-1092af,2026-02-24 20:21:04,High-Conv,99.75,58.67,0.98
ANON-192b1f,2026-02-24 20:24:31,Entrance,33.98,42.34,0.82
ANON-a564e9,2026-02-24 20:26:51,High-Conv,13.28,44.54,0.88
ANON-b6bef9,2026-02-24 20:29:38,Checkout,140.49,64.73,0.94
ANON-7c600c,2026-02-24 20:37:18,Entrance,31.84,35.29,0.86
ANON-24b8b2,2026-02-24 20:37:44,Checkout,191.75,71.8,0.95
ANON-cfa95b,2026-02-24 20:38:26,High-Conv,346.48,94.7,0.97
ANON-a19dc5,2026-02-24 20:39:36,Checkout,68.45,48.28,0.91
ANON-b3365f,2026-02-24 20:40:14,Checkout,91.21,64.1,0.86
ANON-238220,2026-02-24 20:40:42,Checkout,92.01,56.95,0.86
ANON-d14cc1,2026-02-24 20:41:58,High-Conv,228.66,70.35,0.87
ANON-54b8ce,2026-02-24 20:42:21,High-Conv,444.81,90.36,0.97
ANON-1c9974,2026-02-24 20:43:35,Checkout,227.81,80.18,0.89
ANON-e9c2c9,2026-02-24 20:44:09,Entrance,29.63,33.84,0.68
ANON-0ef7ab,2026-02-24 20:44:25,Entrance,17.27,33.82,0.68
ANON-57d08d,2026-02-24 20:49:29,High-Conv,359.1,81.7,0.99
ANON-c50d54,2026-02-24 20:49:39,Checkout,138.6,68.12,0.88
ANON-02b177,2026-02-24 20:50:41,High-Conv,215.19,68.34,0.92
ANON-3e12ea,2026-02-24 20:51:45,High-Conv,394.64,82.15,0.96
ANON-1b17ad,2026-02-24 20:52:34,Entrance,36.88,54.88,0.83
ANON-63b087,2026-02-24 20:53:11,Entrance,36.71,40.66,0.75
ANON-ffcde7,2026-02-24 20:53:28,High-Conv,286.95,83.64,0.95
ANON-20657b,2026-02-24 20:54:02,High-Conv,384.49,87.17,0.87
ANON-57f80b,2026-02-24 20:54:59,Checkout,78.99,50.71,0.94
ANON-4cf1e2,2026-02-24 20:56:49,High-Conv,287.42,75.22,0.98
ANON-413bd1,2026-02-24 20:58:02,Entrance,26.33,46.24,0.81
ANON-39e9bc,2026-02-24 20:58:14,Checkout,134.28,72.89,0.87
ANON-3fa30c,2026-02-24 20:58:32,Checkout,98.36,61.98,0.99
ANON-ffb7cb,2026-02-24 20:59:15,Checkout,153.6,61.88,0.87
ANON-18b06f,2026-02-24 21:01:19,Checkout,77.06,54.63,0.92
ANON-ce121e,2026-02-24 21:02:54,Entrance,18.93,28.3,0.71
ANON-642b52,2026-02-24 21:06:20,Checkout,129.91,66.29,0.97
ANON-b28ec9,2026-02-24 21:08:54,Entrance,35.82,39.85,0.67
ANON-fc517a,2026-02-24 21:19:55,Checkout,127.8,62.62,0.91
ANON-50c664,2026-02-24 21:28:29,Entrance,32.56,41.14,0.66
ANON-d37fbc,2026-02-24 21:29:09,Entrance,23.92,30.46,0.86
ANON-405e27,2026-02-24 21:29:58,High-Conv,139.4,73.5,0.91
ANON-151412,2026-02-24 21:31:14,Checkout,96.41,58.48,0.91
ANON-8fcff9,2026-02-24 21:31:47,Entrance,14.93,36.67,0.78
ANON-9f7db5,2026-02-24 21:35:20,Entrance,33.26,42.02,0.7
ANON-a274d2,2026-02-24 21:41:55,High-Conv,320.6,81.67,0.9
ANON-6f0488,2026-02-24 21:46:09,Entrance,37.25,41.56,0.79
ANON-dcbdfd,2026-02-24 21:46:18,High-Conv,189.67,72.22,0.97
ANON-b3e6e5,2026-02-24 21:47:37,Checkout,76.96,48.14,0.94
ANON-f85812,2026-02-24 21:49:42,High-Conv,400.6,94.95,0.92
ANON-3f69aa,2026-02-24 21:50:54,Checkout,21.24,34.69,0.87
ANON-7bd222,2026-02-24 21:54:39,High-Conv,459.81,90.92,0.87
ANON-523663,2026-02-24 21:55:39,High-Conv,176.76,68.91,0.9
ANON-f5da34,2026-02-24 21:57:17,Entrance,41.67,49.78,0.8
ANON-ff4d11,2026-02-24 21:58:56,Checkout,118.78,66.87,0.86
ANON-3ae6fd,2026-02-24 22:03:20,High-Conv,315.05,77.61,0.92
ANON-553eed,2026-02-24 22:05:12,High-Conv,380.99,100.0,0.96
ANON-b0c77f,2026-02-24 22:05:40,High-Conv,277.04,79.78,0.9
ANON-f7eb3e,2026-02-24 22:05:56,Checkout,108.02,58.73,0.86
ANON-60e690,2026-02-24 22:08:07,High-Conv,536.66,100.0,0.85
ANON-3cfc83,2026-02-24 22:10:11,High-Conv,181.02,80.14,0.99
ANON-ec5faa,2026-02-24 22:10:41,High-Conv,334.38,74.74,0.87
ANON-e7db11,2026-02-24 22:12:45,Checkout,191.07,69.51,0.89
ANON-f5a224,2026-02-24 22:16:25,Checkout,86.84,59.24,0.97
ANON-e27925,2026-02-24 22:18:20,High-Conv,241.05,83.54,0.99
ANON-bc0bc7,2026-02-24 22:18:50,High-Conv,186.83,67.09,0.88
ANON-24489e,2026-02-24 22:21:08,Checkout,146.55,70.74,0.87
ANON-208868,2026-02-24 22:24:18,High-Conv,235.6,82.92,0.88
ANON-34313f,2026-02-24 22:24:25,Checkout,224.33,80.92,0.93
ANON-417740,2026-02-24 22:26:37,High-Conv,298.06,82.19,0.91
ANON-6c2fe7,2026-02-24 22:26:49,Entrance,23.64,44.25,0.76
ANON-d05f4d,2026-02-24 22:34:48,Checkout,64.77,53.39,0.89
ANON-3e7a94,2026-02-24 22:36:33,Checkout,106.99,64.01,0.94
ANON-5e726c,2026-02-24 22:39:40,Entrance,28.83,36.93,0.71
ANON-1b8bad,2026-02-24 22:40:21,High-Conv,451.53,100.0,0.96
ANON-8f24fb,2026-02-24 22:41:13,Checkout,16.47,30.89,0.89
ANON-34ab90,2026-02-24 22:41:25,Checkout,118.7,55.1,0.91
ANON-d687ed,2026-02-24 22:45:19,Checkout,197.78,66.0,0.91
ANON-512f2e,2026-02-24 22:46:44,Checkout,172.76,67.3,0.87
ANON-b17ebb,2026-02-24 22:47:35,Checkout,161.27,75.33,0.93
ANON-f7fcb8,2026-02-24 22:48:52,Checkout,184.61,67.72,0.95
ANON-69f398,2026-02-24 22:49:33,High-Conv,305.9,87.01,0.95
ANON-e85c9f,2026-02-24 22:50:44,High-Conv,226.24,86.04,0.86
ANON-1c6f4c,2026-02-24 22:52:13,High-Conv,108.34,59.21,0.94
ANON-f28e55,2026-02-24 22:52:54,Entrance,16.83,27.82,0.74
ANON-89c89d,2026-02-24 22:54:16,Checkout,109.34,62.45,0.95
ANON-4a3171,2026-02-24 22:54:40,High-Conv,223.72,72.15,0.97
ANON-012323,2026-02-24 22:55:38,Checkout,121.84,72.55,0.95
ANON-e6c85e,2026-02-24 22:56:01,Checkout,100.0,57.35,0.99
ANON-3d423e,2026-02-24 22:58:43,High-Conv,12390.53,32.94979542571303,0.91
ANON-507c5a,2026-02-24 22:59:33,High-Conv,329.37,84.55,0.86
ANON-d1ef3c,2026-02-24 23:01:54,Entrance,40.45,43.87,0.73
ANON-4803c6,2026-02-24 23:01:54,Entrance,38.45,49.7,0.72
ANON-a1f97b,2026-02-24 23:02:20,High-Conv,279.24,80.04,0.91
ANON-c9edf0,2026-02-24 23:05:47,Entrance,9.5,27.2,0.77
ANON-f70bd7,2026-02-24 23:10:17,Checkout,99.86,55.87,0.87
ANON-6de08d,2026-02-24 23:19:34,High-Conv,322.04,82.04,0.87
ANON-99a3db,2026-02-24 23:22:21,Entrance,14.21,23.71,0.69
ANON-9a0b27,2026-02-24 23:24:39,High-Conv,333.42,83.47,0.9
ANON-3efbd6,2026-02-24 23:25:21,High-Conv,252.52,81.06,0.94
ANON-283e3a,2026-02-24 23:25:57,High-Conv,178.64,68.79,0.91
ANON-439b8c,2026-02-24 23:26:17,High-Conv,426.39,91.11,0.9
ANON-1479d5,2026-02-24 23:29:20,Checkout,136.23,64.04,0.96
ANON-d313c0,2026-02-24 23:31:59,High-Conv,331.08,86.32,0.96
ANON-f0cb91,2026-02-24 23:33:44,High-Conv,393.56,91.61,0.92
ANON-1100ae,2026-02-24 23:34:37,High-Conv,414.28,90.31,0.89
ANON-5fd244,2026-02-24 23:38:24,High-Conv,46.02,49.35,0.93
ANON-1bad3b,2026-02-24 23:38:34,Entrance,18.49,40.83,0.77
ANON-20e6cb,2026-02-24 23:39:53,High-Conv,292.39,83.7,0.98
ANON-e7b14a,2026-02-24 23:42:25,Checkout,88.01,57.53,0.89
ANON-e9e00a,2026-02-24 23:46:36,High-Conv,359.46,86.17,0.87
ANON-8873a5,2026-02-24 23:49:29,Checkout,202.69,78.44,0.91
ANON-99b4c7,2026-02-24 23:50:11,Checkout,9906.96,21.544401925936874,0.87
ANON-dba2bb,2026-02-24 23:52:11,High-Conv,389.81,81.72,0.87
ANON-f0ffc5,2026-02-24 23:58:05,High-Conv,437.3,95.92,0.89
ANON-4b4c87,2026-02-24 23:59:41,Entrance,19.29,37.61,0.81
ANON-776416,2026-02-25 00:02:11,Checkout,13293.49,21.29056946011634,0.88
ANON-12c253,2026-02-25 00:02:17,Checkout,152.65,71.77,0.94
ANON-1d1116,2026-02-25 00:04:05,High-Conv,475.99,100.0,0.95
ANON-e42c1e,2026-02-25 00:04:53,High-Conv,120.94,58.27,0.96
ANON-8e727e,2026-02-25 00:05:08,Checkout,207.93,78.62,0.87
ANON-85019f,2026-02-25 00:06:10,High-Conv,122.7,59.75,0.91
ANON-8d9dbf,2026-02-25 00:06:28,Checkout,150.42,60.7,0.87
ANON-b845a5,2026-02-25 00:08:12,High-Conv,176.15,69.09,0.92
ANON-553478,2026-02-25 00:08:48,Checkout,122.77,59.48,0.88
ANON-8c9c13,2026-02-25 00:15:21,High-Conv,206.48,71.54,0.96
ANON-d04956,2026-02-25 00:17:33,Checkout,122.56,62.27,0.91
ANON-535e91,2026-02-25 00:18:18,High-Conv,372.54,93.24,0.86
ANON-e90298,2026-02-25 00:18:23,High-Conv,204.93,77.54,0.96
ANON-3ab257,2026-02-25 00:18:48,High-Conv,165.7,63.79,0.97
ANON-908ebf,2026-02-25 00:23:25,High-Conv,172.07,66.6,0.93
ANON-a5d17d,2026-02-25 00:23:45,High-Conv,194.16,73.92,0.92
ANON-ec0656,2026-02-25 00:25:31,High-Conv,280.8,81.54,0.97
ANON-aca11e,2026-02-25 00:32:50,High-Conv,395.26,92.83,0.92
ANON-d8a2c8,2026-02-25 00:34:49,Checkout,117.34,69.12,0.92
ANON-b6a53d,2026-02-25 00:34:49,High-Conv,111.45,63.33,0.96
ANON-c693e0,2026-02-25 00:36:18,Checkout,136.74,69.3,0.88
ANON-26b52d,2026-02-25 00:37:59,Entrance,20.83,41.4,0.84
ANON-a878d5,2026-02-25 00:39:35,Entrance,41.44,47.76,0.66
ANON-6c8d25,2026-02-25 00:40:09,Checkout,119.03,59.27,0.98
ANON-4bf502,2026-02-25 00:40:49,High-Conv,327.34,81.64,0.96
ANON-0a7d5c,2026-02-25 00:45:07,High-Conv,7170.32,25.03656376066671,0.89
ANON-330418,2026-02-25 00:46:56,High-Conv,244.59,77.97,0.89
ANON-56e623,2026-02-25 00:50:05,Checkout,150.16,62.19,0.91
ANON-69e83d,2026-02-25 00:50:26,Entrance,26.31,39.52,0.85
ANON-3d04eb,2026-02-25 00:52:05,Checkout,113.21,61.32,0.91
ANON-d7a87a,2026-02-25 00:53:38,Checkout,144.4,51.61,0.95
ANON-790b31,2026-02-25 00:53:59,Checkout,200.24,67.36,0.91
ANON-6c208b,2026-02-25 00:55:56,Entrance,32.06,43.62,0.86
ANON-5b7b61,2026-02-25 00:58:04,Entrance,34.68,51.64,0.82
ANON-48c9e0,2026-02-25 00:59:34,Entrance,25.1,39.87,0.8
ANON-ce2675,2026-02-25 01:05:24,High-Conv,405.43,87.9,0.97
ANON-f7eb93,2026-02-25 01:07:12,Checkout,102.76,62.85,0.88
ANON-587a0d,2026-02-25 01:07:20,High-Conv,457.73,90.19,0.96
ANON-457b44,2026-02-25 01:07:47,Entrance,11.12,36.14,0.84
ANON-eecf08,2026-02-25 01:09:15,Entrance,26.65,46.01,0.74
ANON-9a2382,2026-02-25 01:09:46,Checkout,145.82,66.16,0.94
ANON-6ad1c4,2026-02-25 01:16:45,Entrance,29.57,41.56,0.69
ANON-872be1,2026-02-25 01:22:09,High-Conv,251.4,76.6,0.92
ANON-0ef072,2026-02-25 01:23:20,High-Conv,192.36,71.33,0.85
ANON-fb159a,2026-02-25 01:23:55,High-Conv,271.62,73.69,0.98
ANON-22bb9e,2026-02-25 01:24:37,Checkout,98.77,58.64,0.97
ANON-bf8e08,2026-02-25 01:25:11,Entrance,23.1,35.65,0.83
ANON-118ba1,2026-02-25 01:25:20,Checkout,153.41,69.14,0.97
ANON-4d6153,2026-02-25 01:25:45,Checkout,177.66,77.39,0.88
ANON-3af0cd,2026-02-25 01:32:29,High-Conv,197.02,75.4,0.96
ANON-9e7a2c,2026-02-25 01:37:21,High-Conv,266.69,75.29,0.95
ANON-3b8386,2026-02-25 01:37:22,Entrance,29.47,48.13,0.71
ANON-f54e77,2026-02-25 01:40:08,High-Conv,442.07,99.56,0.88
ANON-ffb709,2026-02-25 01:43:04,Checkout,123.49,61.33,0.93
ANON-226eb7,2026-02-25 01:43:57,High-Conv,31.29,40.95,0.94
ANON-c1f05e,2026-02-25 01:45:01,High-Conv,88.95,52.4,0.89
ANON-9dda1c,2026-02-25 01:48:45,Checkout,58.13,52.5,0.98
ANON-64f348,2026-02-25 01:48:54,High-Conv,63.28,59.21,0.91
ANON-1ac5a7,2026-02-25 01:50:48,Checkout,151.39,79.7,0.96
ANON-97b8b4,2026-02-25 01:51:29,High-Conv,260.53,80.11,0.87
ANON-ab6c5e,2026-02-25 01:52:57,Checkout,86.78,51.23,0.92
ANON-c19fdb,2026-02-25 01:53:35,High-Conv,339.45,93.46,0.87
ANON-0dada8,2026-02-25 01:56:08,High-Conv,237.22,76.75,0.98
ANON-b1a299,2026-02-25 01:56:56,Entrance,46.9,48.02,0.75
ANON-d984e0,2026-02-25 01:58:06,Checkout,106.34,59.33,0.9
ANON-17f027,2026-02-25 01:59:29,Checkout,126.15,59.97,0.87
ANON-fdbd90,2026-02-25 02:03:38,High-Conv,269.95,83.04,0.86
ANON-217c1d,2026-02-25 02:05:02,High-Conv,71.16,42.56,0.98
ANON-ef6d07,2026-02-25 02:05:22,Entrance,38.37,42.65,0.67
ANON-dfe71f,2026-02-25 02:06:28,Entrance,27.63,38.15,0.69
ANON-5f95f0,2026-02-25 02:10:22,High-Conv,316.29,85.85,0.96
ANON-ed85c1,2026-02-25 02:11:13,Checkout,93.28,52.95,0.91
ANON-a4db08,2026-02-25 02:15:02,High-Conv,379.72,92.44,0.94
ANON-73b173,2026-02-25 02:17:11,Checkout,146.28,67.16,0.85
ANON-65a9ea,2026-02-25 02:17:30,High-Conv,297.97,81.06,0.86
ANON-849a21,2026-02-25 02:18:07,Checkout,122.54,68.88,0.9
ANON-fa2e11,2026-02-25 02:20:13,High-Conv,185.05,77.24,0.93
ANON-4495ea,2026-02-25 02:23:46,High-Conv,238.0,81.97,0.97
ANON-b5bd7f,2026-02-25 02:24:07,High-Conv,278.53,80.32,0.95
ANON-8004d4,2026-02-25 02:29:41,High-Conv,286.73,83.76,0.93
ANON-237f73,2026-02-25 02:31:12,High-Conv,274.73,82.28,0.86
ANON-0f21f1,2026-02-25 02:32:14,Checkout,46.46,48.83,0.91
ANON-c8c6ae,2026-02-25 02:34:01,Checkout,14.88,29.26,0.95
ANON-892953,2026-02-25 02:34:04,Checkout,133.94,60.89,0.9
ANON-5b601e,2026-02-25 02:34:59,Entrance,28.95,38.95,0.7
ANON-020536,2026-02-25 02:39:37,Checkout,71.21,54.86,0.86
ANON-f2661e,2026-02-25 02:41:08,Checkout,70.9,63.07,0.91
ANON-e0aa6c,2026-02-25 02:47:40,Entrance,43.02,33.59,0.74
ANON-4c1f04,2026-02-25 02:48:44,Checkout,175.67,70.29,0.91
ANON-44d532,2026-02-25 02:49:26,Entrance,28.67,44.35,0.7
ANON-a09b2e,2026-02-25 02:50:40,High-Conv,6164.67,35.56051797677412,0.97
ANON-25c4e7,2026-02-25 02:52:18,High-Conv,287.85,85.76,0.97
